,news
3926,"Our voters went with NDA out of jungle raj fear, says Jan Suraaj"
3927,Siddaramaiah meets Rahul Gandhi amid Karnataka Cabinet rejig buzz
3928,"JDU flags PM role in win, says Modi PM and Nitish CM is ‘Bihar dream’"
3929,"People of Bihar don’t need politics lessons, they teach world: PM Modi"
3930,Another glass ceiling breaks: Women soldiers soon in Territorial Army
3931,"Punjab woman who failed to return from Pakistan has converted to Islam, married in Lahore: Police"
3932,"After allies’ debacle in Bihar, JMM says Tejashwi should have sought Hemant Soren’s help"
3933,"Man arrested after ammunition, contraband items seized from Tripura house; his wife also under scanner"
3934,"Those killed when blast ripped through Nowgam police station: Cops, lab assistant, naib tehsildar, photographer, tailor"
3935,J-K govt announces Rs 10 lakh ex gratia for kin of each deceased in accidental blast
3936,"House, 5 commercial properties of ‘drug peddler’ demolished in J-K: Police"
3937,"Who is Rohini Acharya? Lalu’s daughter ‘quits politics, disowns family’"
3938,"After Congress’s Bihar loss, a message from ally Stalin: Clarity, welfare, and groundwork win elections"
3939,"Hours after suspension over ‘anti party activities’, former Union Minister RK Singh quits BJP"
3940,"Maruti Suzuki to recall 39,506 units of Grand Vitara: Here’s why"
3941,"5 stories you must read today, November 15: From J&K police station blast linked to Red Fort plot to Zohran Mamdani’s push for Starbucks boycott and more"
3942,"‘Sophisticated’ cross-border supply chain of arms, narcotics exposed as NIA chargesheets ‘mastermind’"
3943,"Indian Railways increases frequency of Gujarat’s 1st Amrit Bharat train; ticket booking opens on Nov 16 – check route, fare, stoppages"
3944,"Day after poll drubbing, RJD says ‘no sorrow in defeat…will continue to raise voice among poor’"
3945,"3 policemen dead, 1 missing after their car falls into dam in Ranchi"
3946,"In blow to Lalu after Bihar poll rout, daughter Rohini quits politics, ‘disowns’ family"
3947,"Disposal of train garbage: Railways enforces new OBHS, Pantry Car norms; non-compliance may lead to termination"
3948,Ex-Union minister among three leaders suspended by BJP for ‘anti-party activities’
3949,Indian Railways pet travel policy: Planning train journey with your dog? Know IRCTC rules and ticket booking process
3950,"Entire poll process questionable, will present concrete proof, says Congress"
3951,‘Accidental explosion’: Centre says Nowgam police station blast triggered during forensic sampling process
3952,"IndiGo, Akasa Air to launch new flight routes from Navi Mumbai on December 25"
3953,"Nowgam blast accidental, caused by ‘unstable’ material seized from Faridabad kept at open area of police station: J-K DGP"
3954,"J&K police station blast was accident, says DGP; 9 killed"
3955,‘Congress has become MMC — Muslim League-Maoist Congress’: PM Modi’s hits back after Rahul Gandhi’s ‘vote chori’ claims | WATCH
3956,"Dipankar Bhattacharya interview: ‘Inexplicable result, needs to be probed from all angles’"
3957,"Bungee jump goes wrong in Rishikesh, Gurgaon man critically injured"
3958,"Combined Left takes a big hit, tally down from 16 to three"
3959,"Bihar Opposition shrinks to 35, lowest in 15 years; PM hails massive win, says it paves way for Bengal 2026"
3960,"Behind collapse: RJD ‘weak narrative’, Opposition failure to expand base"
3961,"At Patna Ground Zero, a road separates victory and defeat: Celebrations in JD(U) & BJP offices, silence at RJD headquarters"
3962,Jan Suraaj fails to open account as bid to present alternative narrative finds no takers
3963,Mirwaiz Umar Farooq condemns Red Fort incident
3964,Centre allows 15 LMT sugar export in 2025-26
3965,Bihar Assembly Election Results 2025: Constituency-wise winners and runners-up
3966,9 killed in blast at Nowgam police station in J-K as team examines explosives linked to Red Fort module
3967,"Stone pelting at counting centre in Bihar’s Kaimur, security heightened"
3968,Bihar Elections Results 2025: Winners and losers in highest polling constituencies
3969,Bihar Assembly Election Results 2025: Winners and losers in lowest polling Assembly constituencies
3970,"Old M-Y formula shattered, now it is mahila and yuva, says PM Modi"
3971,"Rahul Gandhi calls Bihar verdict ‘truly surprising’, promises a review"
3972,Three held for smuggling cocaine from Ethiopia
3973,Bihar Election 2025: JD(U) Full List of Winning and Losing Candidates
3974,RJD’s wins and losses in Bihar Assembly elections 2025
3975,"Bihar mandate a ‘giant leap’ that will impact country, Mahayuti to sweep Maharashtra local polls too: BJP’s Vinod Tawde"
3976,"Bihar Election Results 2025: AIMIM punches above its weight, outperforms Congress, Prashant Kishor’s Jan Suraaj"
3977,"PM Modi says Bihar supported SIR, calls for ‘purification’ of voter rolls"
3978,"Tripura CM Saha hails NDA’s ‘big victory in Bihar’, predicts next big political change in West Bengal"
3979,"ED turns down Anil Ambani’s request for virtual appearance, asks him to report on Monday"
3980,"5 stories you must read today, November 14: From Centre notifying data protection rules to Red Fort bomber’s home razed and more"
3981,"Meet Maithili Thakur, who is set to become Bihar’s youngest MLA: 5 things about BJP’s Alinagar candidate"
3982,"On Mahua Moitra’s plea, National Green Tribunal directs CPCB to check allegations of GRAP-3 violations in Delhi"
3983,"Bihar Election Result 2025: Maithili Thakur, singer-turned-politician, set to become Bihar’s youngest MLA"
3984,"Bihar Assembly Election 2025: Anant Singh wins Mokama by 28,206 votes while contesting from jail"
3985,"In Rajasthan’s Anta, what Congress bypoll win means for key players – Gehlot, Raje, the CM, and a perpetual rebel"
3986,"In Mizoram, bypoll win for heavyweight who lost his crown"
3987,"Bihar Election Results: As NDA surges ahead, here’s what’s unfolding in 7 key constituencies"
3988,Mumbai-Ahmedabad bullet train project: PM Modi to visit under-construction Surat bullet train station on Nov 15
3989,Pulwama house of Red Fort blast accused Umar Nabi demolished
3990,LIVE | Bihar Assembly Election Result 2025 Reactions: NDA begins celebrations across Bihar as alliance crosses 200 mark
3991,BJP leader Shehzad Poonawalla says ‘people voted for Modi-Nitish good governance’ as NDA leads in early trend
3992,Chapra Election Results 2025: BJP’s Chhoti Kumari wins by 7600 votes
3993,"Gold Today Rate, November 14: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
3994,"Bihar Election Results 2025: NDA crosses majority mark in early trends, Nitish Kumar’s JDU leads tally"
3995,PM Modi offers tributes to Jawaharlal Nehru on birth anniversary
3996,"Bihar Election Results 2025 Constituency-wise, Seat-wise: Check full list of winners"
3997,Sangh not formed to destroy anyone: RSS chief Mohan Bhagwat
3998,"Promised job in Thailand, kept as ‘cyber slaves’ in Myanmar: Uttarakhand men’s Southeast Asian ordeal leads to agent’s arrest"
3999,"LIVE | Today’s Latest News 14 November: Bihar Election Results, Breaking News, and India News Updates"
4000,Police bring engineering student to college in handcuffs days after arrest over Jharkhand protest; family demands action
4001,"Bihar Election Commission of India Results 2025 LIVE: check results on results.eci.gov.in | Chapra, Raghopur, Karakat, Chanpatia, Ramgarh"
4002,"Nellie massacre report highlights demographic change, says Himanta ahead of its tabling"
4003,Mahua Election Result 2025 Highlights: Tej Pratap Yadav loses Mahua seat to LJP(RV)’s Sanjay Kumar Singh
4004,Tarapur Vidhan Sabha Election Results 2025 LIVE: Sitting Dy CM Samrat Choudhary wins Tarapur by 1.22 lakh votes
4005,"Jan Suraaj Party Bihar Election Results 2025 Highlights: JSP to undertake ‘serious review’ of performance after poll setback, says spokesperson"
4006,"Jubilee Hills, Nuapada By-Election Results 2025 Highlights: Congress’ Naveen Yadav wins in Jubilee Hills bypoll; BJP’s Jay Dholakia in Nuapada"
4007,"Chapra, Raghopur Election Result 2025 Highlights: Tejashwi Yadav maintains stronghold in Raghopur with 14,532 votes; BJP’s Chhoti Kumari defeats Khesari Lal Yadav in Chapra"
4008,"Alinagar, Lakhisarai, Arrah Election Result 2025 Highlights: Debutant Maithili Thakur wins Alinagar seat, becomes youngest MLA in state"
4009,ECI Bihar Election Results 2025 LIVE: ‘No sorrow in defeat…ups and down inevitable’: RJD’s first reaction to poll rout
4010,"By-Election Results 2025 Highlights: Congress candidate wins Jubilee Hills bypoll, BJP’s Devyani Rana wins Nagrota bypoll"
4011,"In Aland voter deletion probe, SIT’s first arrest: 27-year-old from West Bengal"
4012,Growth of India’s CO2 emissions expected to slow down significantly in 2025: Study
4013,New museum in Chhattisgarh shines spotlight on tribal freedom fighters
4014,"Terror module, the beginning: Kashmir cleric’s chance visit to hospital, where accused doctor worked"
4015,"COP30: Framework, toolkit to rope in governance, tackle extreme heat released"
4016,"Sri Sri Ravi Shankar, Mirwaiz meet in Srinagar: ‘Dialogue essential to promote peace’"
4017,"Jaypee Infratech ex-MD arrested by ED, sent to 5-day custody"
4018,Assets worth Rs 61.20 crore of Bhupesh Baghel’s son Chaitanya attached by ED in Chhattisgarh ‘liquor scam’
4019,"2 doctors from UP’s Kanpur and Hapur, who ‘were in touch with terror module accused’, questioned"
4020,"Blast near Red Fort: Congress asks PM to hold all-party meet, says advance House session"
4021,Social media posts after Red Fort blast see Assam carry out a crackdown last witnessed in Pahalgam aftermath
4022,All eyes on Bihar Assembly election 2025 results tomorrow: NDA confident. Can Tejashwi Yadav defy exit polls?
4023,"Row in Kerala’s Left over PM SHRI deepens, CPM minister says ‘don’t hold me responsible if Centre doesn’t release funds’"
4024,"5 stories you must read today, November 13: From Al-Falah University under scanner to Trump signing funding bill to end US govt shutdown and more"
4025,‘Not every resident of Kashmir is a terrorist’: Omar’s word of caution after Red Fort blast
4026,"BJP, JDU, RJD Bihar Election Result 2025 LIVE Updates: As NDA heads for historic 200-plus victory, leaders thank voters & slam Oppn"
4027,"Rs 30 lakh fine, jail in draft Bill to curb sale of low-quality seeds"
4028,Madras High Court seeks state’s response to plea seeking ban on Desiya Thalaivar
4029,"CBI files FIR, takes over Odisha police recruitment scam case"
4030,"Bihar Assembly Election Results 2025: When and where to track counting, trends, and results online"
4031,"Goa cash-for-jobs scam: Scrutinising accused’s allegations, can’t take them at face value, say police"
4032,Delhi-Meerut RRTS corridor: Ghaziabad’s Duhai becomes second Indian city to get solar panels between tracks
4033,"Gold Today Rate, November 13: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
4034,"Jubilee Hills and Nuapada By Election Results 2025: Know date, time, and where to watch the By-Election Results"
4035,"US Secretary of State Rubio calls Delhi blast ‘terrorist attack,’ praises India’s ‘measured’ response"
4036,"NIA raids in Gujarat, Bengal, and 3 other states in al-Qaida terror conspiracy case"
4037,"Byelection results 2025 date and time: Anta, Budgam, Dampa, Ghatsila, Nagrota, Tarn Taran, Jubilee Hills results to be out on November 14"
4038,"‘Take me to Odisha soon…’: Adopted by US-based woman 8 years ago, 21-year-old alleges torture, conversion bid"
4039,"‘Hit her on head with set-top box’: Kerala couple, popular for family counselling, in domestic violence row"
4040,"Woman detained in protest ‘suffers miscarriage’ in Jharkhand; Adivasi groups allege mistreatment, jail authorities dismiss pregnancy claims"
4041,"MBBS degree from China, partner in online food joint: Who is Hyderabad doctor at centre of ‘Ricin terror plot’?"
4042,"‘Left our two sons with me, never contacted us after divorce’: Ex-husband of Dr Shaheen, accused in terror module case"
4043,"Top News Headlines of November 13, 2025 | Sri Sri Ravi Shankar, Mirwaiz meet in Srinagar: ‘Dialogue essential to promote peace’"
4044,"Before and after Red Fort blast, the 2 clerics arrested, 800 kilometres apart"
4045,"Andhra Pradesh eyes $1 trillion investments in five years, job creation priority: Nara Lokesh"
4046,"Election Commission eases BLA appointment rules, TMC says it will benefit BJP in SIR"
4047,"As Jaishankar meets  Canada counterpart, its trade minister sets out to boost India ties"
4048,‘Bangladesh can’t and won’t remain in this state… will rise again’: Ousted PM Sheikh Hasina
4049,India 9th among countries worst hit by climate disasters in last 30 years: Report
4050,CJI Gavai: Progress in gender equality  is not due to judiciary alone
4051,"Amid Murmu state visit, Botswana announces translocation of eight cheetahs"
4052,"R&AW chief gets additional charge of security secretary, days after Delhi blast"
4053,"Week into SIR 2, EC says 72% voters have got enumeration forms"
4054,Chidambaram after Red Fort blast: Should ask what turns educated Indians into terrorists
4055,"‘Senseless act of violence’: Cabinet condemns Red Fort ‘terror incident,’ orders swift probe into Delhi blast"
4056,"House panel on Bills for removal of jailed ministers set up, 26 of 31 members from NDA"
4057,Red Fort blast | ‘Umar often spoke of spectacular attack’: Probe widens into terror module
4058,NIA and police conduct raids in Tripura’s Unakoti district in crackdown on human trafficking
4059,"Infosys Prize 2025 recognises research on Prakrit languages, DNA repair and renewable electricity"
4060,"5 stories you must read today, November 12: From Tejashwi predicting 160 seats for MGB to court rejecting CBI probe in IPS officer Y Puran Kumar’s death and more"
4061,Exit polls may give NDA the edge but Tejashwi has a different prediction: 160-plus for Mahagathbandhan in Bihar
4062,MP sarpanchs now have power implement projects worth Rs 25 lakh: CM Mohan Yadav
4063,"Police sweep across Kashmir sees raids on 200 locations, hundreds of detentions"
4064,"India to set up immigration check post in Assam, announces PM Modi during 2-day visit to Bhutan"
4065,"Top News Headlines of November 12, 2025 | ‘Fake narrative to smear Trump’: White House on ‘selective leak’ of Epstein emails"
4066,"Gold Today Rate, November 12: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
4067,"‘If I hadn’t been forced to quit, I would have earned lakhs by now’: Trans woman petitioner Jane Kaushik"
4068,"Before Red Fort blast, who were the 7 arrested as part of ‘terror module’ bust?"
4069,Sabarimala ‘missing gold’: Former temple board chief latest to be arrested
4070,"Goa ‘cash-for-jobs scam’: Police expand probe after key accused claims minister, IAS officer involved"
4071,‘Where are you son? Please come home’: Mothers of senior Maoist leaders make video appeal after Chhattisgarh minister’s visit
4072,"Month after death of Kerala techie who alleged sexual abuse at RSS shakha, police book man named in video"
4073,"Blast outside Red Fort: Give report at earliest, Amit Shah directs officials"
4074,Can Gaganyaan remain stable if one of the parachutes fails to open on time? ISRO conducts test to find out
4075,"Day after it was taken off agenda, India raises contentious finance provision at COP30 meet"
4076,"States’ plea against SIR: EC entitled to protect privacy of voters’ list data, says Supreme Court"
4077,"With 5.2 lakh structures, Telangana tops in water conservation projects"
4078,"What’s Al Falah, where the doctors linked to terror module worked"
4079,"Man at the wheel in explosion near Red Fort: Umar Nabi, doctor who ‘motivated white-collar group’"
4080,"‘Connected not just by borders but also cultures’: Modi arrives in Bhutan, inaugurates 1,020 MW hydroelectric project"
4081,Bihar sees highest ever turnout at 67.14% in final phase; exit polls predict NDA win
4082,"Tripura can emerge as IT and data hub in Northeast, says MeitY Secretary S Krishnan"
4083,"As links emerge between Red Fort blast suspect and terror module busted by JK police, officials say bigger attack averted"
4084,"Minor girl abducted from South Tripura district rescued from Nepal, reunited with parents"
4085,"Retired principal in Assam makes ‘election’ comment on Facebook post about Red Fort blast, detained"
4086,6 Maoists gunned down in encounter at Indravati National Park
4087,"5 stories you must read today, November 11: From suicide blast in Pakistan to Surendra Koli’s acquittal in last Nithari killings case and more"
4088,Bihar Election 2025 Exit Polls: Surveys predict clean sweep for NDA in Bihar
4089,"Bihar Election 2025 Exit Polls: Axis My India predicts 121-141 seats for NDA, Today’s Chanakya gives it 160+"
4090,"Local polls won’t affect SIR in Kerala, 1 crore forms distributed in state in 1 week: Chief Electoral Officer"
4091,Delhi Red Fort blast: Delhi Airport issues passenger advisory; security screening may take more time
4092,‘Terror module’ bust: AK-47 recovery from Anantnag doctor’s locker prompts Valley hospitals to take urgent steps
4093,Red Fort blast: DNA from Umar Nabi’s mother could prove crucial link in confirming bomber’s identity
4094,Delhi air pollution: Delhi Metro introduces 60 additional trains as GRAP 3 kicks in
4095,"‘Hum ta apan tham rail nahiye dekh sakbai’: Two decades on, two Bihar districts still await their first train as state heads to final phase of polls"
4096,Govt brings Rajasthan Chief Secretary Sudhansh Pant back to Centre
4097,"After car blast near Delhi’s Red Fort, UK issues travel advisory against travel to parts of India"
4098,"Security stepped up at Vaishno Devi shrine, Jammu city after Red Fort blast"
4099,‘Our agencies will get to the bottom of this conspiracy’: PM Modi after Red Fort blast
4100,"Top News Headlines of November 11, 2025 | Singaporean moneylender who fatally stabbed debtor pleads guilty at the age of 80 after 33 years on the run"
4101,"Red Fort blast: Doctor who went missing after Jaish module bust in Faridabad likely the bomber, police say, as Pulwama becomes probe ground zero"
4102,"Angered by repeated ‘thief’ taunts from villagers, Chhattisgarh teen ‘throws 2 toddler cousins in well’"
4103,Elderly ‘faith healer’ arrested after pregnant teen’s body found in septic tank in Assam
4104,Gangster ‘involved in Disha Patani house shooting’ arrested in Rajasthan
4105,"1,500 picked up for questioning in Kashmir after police get tip-off on ‘bid to disrupt peace’"
4106,"Vast opportunities for India, Angola to deepen economic ties: Murmu"
4107,"Content team in place, Central Vista museum awaits a narrative"
4108,Priyank Kharge: RSS did not register to be out of tax ambit
4109,Modi begins 2-day Bhutan visit today; will inaugurate hydro project
4110,State sees highest-ever turnout since 1951 as 66.91% voters cast their ballots
4111,From cyberslave to conman: Man held in Rs 46 lakh fraud
4112,"Finance, trade key agenda items, climate meet likely to be stormy"
4113,Tejashwi press conference in silence period shows he has admitted defeat: Ravi Shankar Prasad
4114,BL Santhosh to visit Manipur amid pressure for popular govt
4115,Diplomats in Delhi condole loss of lives in explosion near Red Fort
4116,"Enforce global standards by January, launch inspections: DCGI to states"
4117,Red Fort blast: i20 was at nearby parking lot for over 3 hours
4118,"Red Fort blast ripples in Bihar, police fan out as state votes today"
4119,"Bihar Election 2025: How to Check Your Polling Booth, Voter List for 2nd Phase Voting"
4120,"Evil forces trying to weaken country, need to stay vigilant: Tripura CM Manik Saha"
4121,Tripura Board of Secondary Education Class 12 and Class 10 exams from February 25 and 26
4122,Delhi Red Fort car blast: Northern Railway tightens security at these 5 stations – Full list
4123,"Delhi Red Fort Blast: Exploring all possibilities, will conduct thorough probe, says Amit Shah"
4124,"Delhi Red Fort blast: Kejriwal calls for immediate investigation, Rahul Gandhi say, ‘extremely heartbreaking’"
4125,Timeline of major blasts in India
4126,"‘Imagine if one day it suddenly stops’: Ramping up financial assistance for families, Himanta makes pitch for 2026 Assam polls"
4127,"Months after Op Black Forest, sanctuary boundary in Chhattisgarh Naxal hotbed to be shifted for jungle warfare college"
4128,"Bihar Assembly Elections Exit Polls 2025: date, time, what are exit polls and how are they conducted"
4129,"5 stories you must read today, November 10: From US Senate passing funding bill to Delhi’s Nehru Stadium to be demolished and more"
4130,"Andhra girl in US to pursue Master’s dies in her sleep, loved ones set up GoFundMe to bring body back"
4131,"Bihar Assembly Elections 2025: Tejashwi Yadav questions poll body, asks why EC didn’t disclose gender-wise data for Phase I voting"
4132,"Firozpur-Delhi Vande Bharat train to commence commercial run on Nov 11 – check stoppage, time table, ticket price"
4133,"Behind explosives in Faridabad doctor’s house, ‘transnational terror module’ busted during J-K police probe into posters"
4134,Indian Railways child ticket policy: IRCTC ticket booking rules parents must know before travelling with kids
4135,"Dates set: Crucial test for CPM and Congress, Kerala local body polls to be held in December"
4136,Bihar Election 2025 Result Date: When will the votes be counted? Here’s all you need to know in 5 points
4137,"Top News Headlines of November 10, 2025 | Red Fort blast ripples in Bihar, police fan out as state votes today"
4138,"What’s in Assam’s anti-polygamy Bill? Jail terms for offenders, compensation for women"
4139,"In Kashmir, a crackdown to ‘dismantle’ terror support network sees 100 picked up for questioning"
4140,"‘Men come up for photo, as if I’m a prop’: Videos from Goa’s beaches put fresh spotlight on women’s safety"
4141,"‘How can we rush back like this’: Mumbai to Kochi, workers from Bengal worry over SIR"
4142,"Energy cooperation foundation of India-Angola trade ties, says President"
4143,"Jal Jeevan graft crackdown: Action against officials in 15 states & UTs, mainly from UP"
4144,"Weeks after they went missing during trek in Nepal, bodies of Surat man and teen daughter found"
4145,"‘Like always, Dr Shashi Tharoor speaks for himself’: Congress says after his birthday greetings to Advani drew ire online"
4146,Uttar Pradesh voter list: Step-by-step guide to check your name in the electoral roll of 2003 SIR
4147,"After students sing RSS song at Vande Bharat launch, Kerala minister warns school can lose NOC, orders probe"
4148,Bihar Election 2025 Phase 2: Lost your Voter ID card? Carry any of these 12 documents to cast your vote on Nov 11
4149,"J-K police pick up 2 Kashmiri doctors from Uttar Pradesh, ‘seize’ rifle from Anantnag hospital locker"
4150,"SEBI digital gold warning: Market regulator flags potential risks, issues advisory for investors"
4151,"5 stories you must read today, November 9: From eviction drive in Assam to Mohan Bhagwat’s jibe at Congress and more"
4152,"Documentary claims British spy call intercepts behind Canada alleging links between India, Nijjar killing"
4153,‘This is the era of Uttarakhand’s rise’: PM Modi hails ‘double-engine’ impact as state marks 25 years since formation
4154,West Bengal voter list: EPIC-mobile number link mandatory for online submission of SIR forms | Step-by-Step guide to link your EPIC and mobile number
4155,Watch: Rahul Gandhi embarks on a jungle safari in MP’s Panchmarhi
4156,Railways plans Mega Coaching Terminals to double train handling capacity in 20 cities
4157,‘Even Hindu Dharma is not registered’: Mohan Bhagwat hits back after Congress questions RSS’ legal status
4158,"SIR a bid to institutionalise ‘vote theft’, claims Rahul Gandhi"
4159,All 48 stranded workers brought back home from Tunisia to Jharkhand
4160,580 more families face eviction as Assam resumes demolition drive
4161,Misuse of SIM cards by terror operatives: Searches at various places in Kashmir valley
4162,‘Sacred land today accelerating progress in every field’: PM Modi extends greetings as Uttarakhand marks 25th Foundation Day
4163,"Top News Headlines of November 9, 2025 | 1 crew member killed, 2 critically injured in medical helicopter crash near Nashville"
4164,"In Goa, as crime spurt puts his govt on defensive, chief minister blames migrants"
4165,Ease of living and business possible only when there’s ease of justice: PM Modi
4166,Redeployment to surveillance: Army prepares for sixth winter in Ladakh
4167,"Deadline coming, govt moves to clear 214 legacy landfills in 202 cities by Oct next year"
4168,"Prof Vaidyeswaran Rajaraman (1933-2025): Pioneer in computer education, he defined India’s digital future"
4169,"Priyanka Gandhi Vadra: Congress battling Modi empire, like Mahatma fought against British"
4170,J&K probe agency arrests ‘kingpin’ of narco-terror module from Mumbai airport
4171,‘Hope issues flagged by Tiprasa Accord will be solved soon’: Tripura CM Manik Saha
4172,"2 BSF personnel injured by cattle smugglers, 1 suspect detained by Tripura Police"
4173,"‘Notice’ claiming students will get 50 marks for attending Modi event is fake, Dehradun university says"
4174,"3 students from NIT Silchar fall into waterfall in Dima Hasao, search ops underway"
4175,PM Modi meets BJP veteran Advani to extend wishes on his birthday
4176,PM Modi to visit Bhutan next week
4177,"Bihar phase-1 was a 65-volt jolt for jungle raj wallahs, says Modi as his campaigning comes to close"
4178,Schoolkids served mid-day meals on pieces of paper in Madhya Pradesh: Admin launches crackdown as Rahul calls out BJP’s ‘illusion of development’
4179,Railways preparing master plan to integrate development of Varanasi’s 3 key stations; targets 500 daily train departures
4180,From stench to stadium: How a Kerala civic body turned its garbage hill into a field of dreams
4181,"RSS song by school students at Vande Bharat launch stirs row in Kerala, principal says Railways had nothing to do with it"
4182,"5 stories you must read today, November 8: From US probe into H-1B visa ‘abuses’ to Rishabh Pant’s bruising day out and more"
4183,"Thiruvananthapuram Metro rail project: Kerala govt approves Phase 1 alignment – check route, length, station list"
4184,‘Khoon se tilak…’: Probe ordered after video shows schoolkids reciting ‘inappropriate’ prayer in Chenab school
4185,Kerala govt doctor slams poor conditions at medical college after patient’s death
4186,"If he’s really concerned, Rahul should have appointed SC, ST or minority person as LoP: Rajnath"
4187,VVPAT slips found dumped in Samastipur; official suspended
4188,Ernakulam-Bengaluru Vande Bharat train sees huge demand; tickets sold out within hours of launch
4189,"As Uttarakhand turns 25, what is the state doing for those who led agitation?"
4190,"PM Modi says RJD encouraging children to become ‘Rangdaar’, says high voter turnout gave ’65-volt shock’ to Oppn"
4191,Ernakulam-Bengaluru Vande Bharat: Here’s how Kerala’s 3rd semi-high-speed train could transform travel experience
4192,Parliament Winter Session to be held from December 1-19: Kiren Rijiju
4193,"Developed countries should become net-zero earlier than planned, aim for net-negative emissions: India at COP30"
4194,"TN Raj Bhavan denies delay in clearing Assembly Bills, says 81% assented by Governor"
4195,‘Cornered militants opened fire’: How Operation Pimple stopped infiltration bid in Kashmir
4196,"Bihar Assembly Elections 2025: BJP’s Amit Shah, Congress’ Rahul Gandhi to address rallies on final day of campaigning before phase 2 polls"
4197,"India joins Brazil-led forest fund as observer, calls for stronger ambition 10 yrs after Paris pact"
4198,"Narendra Modi Varanasi Visit: PM Modi flags off 4 new Vande Bharat trains – Full list, routes"
4199,Watch: PM Modi flags off 4 new Vande Bharat trains from Varanasi
4200,Operation Pimple: Two terrorists killed by Army in Jammu-Kashmir’s Kupwara
4201,"‘Politically motivated, deeply suspicious’: In Goa, Opposition takes issue with timing of SIR"
4202,Gateway of Guwahati: First-of-its-kind floating terminal inaugurated in Assam
4203,Panel seeks higher protection for Rhesus Macaque under Wildlife Act
4204,"HAL, GE ink deal for supply of engines to power Tejas"
4205,Wildlife board panel clears 12 key defence projects in Ladakh
4206,"PM Bhutan visit likely soon; energy, connectivity on table"
4207,"PM Modi targets Congress over Vande Mataram: Key stanzas dropped, still face divisive mindset"
4208,"BJP leaders who voted in Delhi also voted in Bihar, says Rahul"
4209,"FM visits upcoming OSAT project in Assam, highlights transformative potential of industrial units"
4210,"Karnataka HC allows state to go ahead with Bengaluru garbage tender, directs creation of tech-based platform to manage solid waste"
4211,Indian national captured by RSF militia in Sudan; New Delhi in touch with authorities to secure release
4212,"People trust Narendra, Nitish will deliver: PM after record turnout in Bihar"
4213,"Tipra Motha founder Pradyot Kishore meets Tripura CM Manik Saha, says talks to benefit everyone in state"
4214,"‘SIR must be monitored, vote theft must not be allowed in Tamil Nadu,’ says TN CM"
4215,"‘In govt system, if new experiment fails, officers order action, but my suggestion is…’: Gadkari’s pitch to researchers, engineers"
4216,"‘His parents sold land to send him there’: Rajasthan youth pursuing MBBS in Russia found dead inside dam, 19 days after he went missing"
4217,"Ernakulam-Bangalore Vande Bharat train begins inaugural run – check stoppages, timings"
4218,"5 stories you must read today, November 7: From SC ordering removal of strays from public premises to chaos at Delhi airport and more"
4219,"India brightest spot in world, NITI Aayog CEO says update on India-US trade deal likely by end of month"
4220,More than 300 flights delayed at Delhi Airport: What to do if your flight is delayed or cancelled
4221,Kotak Mahindra Bank SMS alert charges revised from December; check details
4222,"A call from Armenia, a threat from ‘Lawrence bhai’: How an extortion plot unravelled in Haridwar"
4223,Pak has history of clandestine nuclear activities: India
4224,"Varanasi-Khajuraho Vande Bharat train to run as ‘unreserved’ today – check inaugural run timing, stoppages"
4225,Prashant Kishor has two reasons why Bihar voting broke all records this time
4226,‘Sowed the seeds of partition’: PM Modi alleges Congress dropped important stanzas of ‘Vande Mataram’
4227,Indian Railways to install AI-based technology to enhance security in freight trains – Here’s how it will work
4228,"Omar hits bypoll trail – with guns blazing against PDP, but his own MP missing"
4229,Indian Railways new booking rules: IRCTC makes Aadhaar-based authentication mandatory for train reservation in morning hours
4230,"Rahul renews vote theft charge, attacks PM Modi"
4231,Reform or roadblock? Kerala’s proposed right to disconnect bill triggers debate on work-life balance
4232,"Lawyer breaks down after SC orders removal of stray dogs from schools, bus stands, public institutions: VIDEO"
4233,"Gold Today Rate, November 7: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
4234,"Weeks after nabbing CFO of Reliance Power, ED makes another arrest in Rs 68 crore bank loan ‘fraud’ case"
4235,"PM Modi likely to visit Bhutan next week: Hydropower project inauguration, railway schemes’ review on agenda"
4236,"‘Unprecedented streak of high temperatures’: 2025 set to be among top three warmest years, says World Meteorological Organization"
4237,‘Divisive mindset still a challenge for India’: PM Modi at event commemorating 150 years of Vande Mataram
4238,"Wangala Bank Holiday Today: Are banks open or closed on Friday, November 7? Check city-wise list"
4239,CCTV in loco cabs soon: Railways after initial report in Bilaspur train crash blames crew
4240,"Kerala priest arrested in Madhya Pradesh over ‘conversion’, gets bail; CM Vijayan tells counterpart to ‘ensure no harassment’"
4241,"‘Players kept waiting for hours, organisers untraceable’: FIR in J&K cricket league debacle"
4242,"‘Hundred more will rise…’: 10 years after Father Bismarque’s ‘drowning’ death, Goa village remembers his activism, music"
4243,"In Goa room where businessman housed 2 employees, he and one worker found murdered, the other absconding"
4244,"‘Purest electoral rolls’, historic turnout, minor confusions: One phase down, one more to go in Bihar polls"
4245,"Congress, RJD dividing society, says Modi; Shah invokes Sita Temple"
4246,IAF enthrals spectators as Chhattisgarh marks 25 years of formation
